theme_id | count 
      388 |     6
      165 |    62
       56 |    41
      151 |     6
      209 |     5
       74 |    31
       34 |     1
      138 |     4
      418 |     6
      245 |     9
      205 |     1
       67 |    10
      407 |    13
      325 |     6
       90 |    18
      443 |   185
      387 |     8
      484 |    93
      334 |     5
      144 |    19
      558 |    15
      540 |    19
       39 |     7
      168 |    34
      598 |    19
      471 |    15
      526 |     5
      393 |     3
      524 |    57
      464 |     9
      312 |     5
      167 |    23
      498 |     4
      277 |     7
      494 |   192
      469 |    81
      118 |     4
      300 |    28
      608 |     1
      284 |     5
      317 |     2
      342 |     6
      488 |    32
      126 |     6
      194 |     7
      360 |     6
      463 |     4
      476 |    13
       99 |     7
      367 |     8
      374 |     4
      588 |     9
       41 |     2
       46 |     1
      439 |    23
      206 |    15
      224 |    24
      586 |    12
      572 |    26
       32 |     2
       53 |    29
      336 |     7
      275 |    15
      247 |    10
      260 |    22
      423 |     4
      136 |     9
      354 |     8
      139 |     6
      442 |    18
       12 |    30
      479 |     5
      293 |     3
      411 |     8
      425 |    23
      495 |     6
      154 |     9
      234 |    21
      316 |     1
      474 |     7
      403 |    33
      256 |     5
      332 |     7
       33 |    16
      422 |     3
      549 |    19
      264 |     1
      185 |    14
      215 |     1
      380 |     1
      130 |    89
      270 |     6
       23 |    20
      612 |     1
      486 |    11
      435 |   191
      384 |     5
      351 |     8
      116 |    52
      552 |    19
      314 |     1
      386 |    13
      426 |     4
      364 |    30
      433 |    16
      491 |     3
      462 |   102
      299 |    10
      169 |   118
      345 |     6
      605 |    70
       92 |    10
      541 |    19
      436 |     7
      180 |     2
      437 |     9
      236 |    39
      263 |    17
      197 |    23
      135 |    26
      493 |    15
      454 |    14
      470 |    46
      482 |    23
      227 |    80
      500 |    55
      149 |     3
      478 |    19
       73 |     2
      577 |    27
      311 |     6
      103 |    13
      505 |    19
      121 |     3
      239 |    14
       88 |     6
      420 |     9
      188 |    14
      461 |    17
      240 |    13
      328 |    13
      525 |    94
      196 |    16
      291 |     3
       15 |    13
      210 |     1
      226 |    72
       48 |    22
      447 |     6
      298 |    19
       61 |   103
       81 |     7
      244 |    14
      602 |     7
      468 |    72
      251 |    14
      204 |    42
        5 |    11
      104 |     1
      171 |     1
      456 |    73
      397 |    41
      531 |     1
      427 |     8
      604 |    58
      283 |     5
      347 |    29
      546 |    12
      179 |     1
      562 |     2
      297 |    26
      361 |     1
      321 |     3
      303 |    15
      402 |     2
      472 |     9
      444 |     1
      537 |    19
      445 |     2
      233 |     9
       89 |     5
       93 |    28
      252 |    59
      343 |     5
       31 |     7
      467 |   106
      327 |     9
      253 |     6
      581 |     9
       14 |     3
      109 |     1
      497 |    57
      155 |    12
      133 |    11
      416 |    42
      195 |    16
      199 |    18
      372 |    39
      369 |     3
      339 |     7
      600 |    30
      243 |    25
      335 |    13
      603 |     6
      591 |    33
      383 |     1
      230 |    14
        7 |    61
      301 |    74
      503 |   132
      254 |   125
      377 |     2
       78 |    15
      573 |    13
      159 |    51
      250 |    11
      432 |    21
      611 |    18
       20 |    17
      319 |    43
        1 |   172
       76 |    20
      106 |    14
      517 |     6
      178 |     4
      129 |    14
      203 |     3
        8 |     6
      585 |     9
      455 |     1
      346 |    11
       71 |     8
      370 |     1
      267 |     5
       68 |    41
      146 |    12
       80 |    33
      396 |     5
      162 |     7
      511 |     2
      132 |    19
      514 |     2
      322 |    14
      582 |     9
      389 |    47
      330 |     8
      237 |     2
      451 |    13
      262 |    14
      323 |    20
      337 |     7
      348 |    13
      114 |    32
       60 |    14
      504 |   219
      399 |    61
      238 |    43
      112 |     6
      560 |     1
      547 |    19
      268 |     2
      518 |     5
      289 |     5
      583 |     9
       65 |    10
      569 |     3
      124 |     1
      452 |    12
       98 |     7
      200 |     1
      527 |     2
      490 |     5
      235 |    63
      601 |    23
      590 |     4
       82 |    61
      119 |    14
      286 |    11
      306 |     8
      376 |     2
      147 |     8
      480 |    19
      338 |     7
      202 |     5
      358 |     7
      412 |    21
      610 |    14
       79 |     9
       26 |     8
      564 |     6
      535 |    16
       72 |    30
      579 |    27
      510 |     1
      232 |     9
       77 |    18
      131 |     9
       17 |     6
      198 |    69
      310 |     9
      212 |     1
       37 |   134
      404 |    12
      584 |    13
      353 |    11
      489 |     9
      515 |     1
      574 |     5
      225 |    97
       83 |    20
      333 |     7
       63 |    40
      571 |    84
      542 |    19
       45 |     1
      395 |     4
      216 |     5
      174 |    17
      295 |     2
      213 |     2
      134 |    19
      274 |     2
      163 |    10
      223 |    72
      352 |     7
      362 |     6
      221 |    24
      430 |     3
      102 |     6
      158 |   105
      460 |    11
      533 |    32
      499 |     2
      265 |     8
      111 |     7
      459 |    34
       16 |    29
      207 |     3
       62 |     3
      123 |     8
      326 |     7
      568 |     5
      385 |     5
      371 |   240
      492 |     7
      544 |    19
      365 |    14
      157 |     8
      413 |    21
      606 |     6
      308 |     8
      183 |     3
      100 |     8
      313 |     5
      150 |     1
      140 |     8
      137 |    19
      248 |     5
      421 |    10
      208 |    12
      614 |     2
       24 |     9
      392 |     3
      191 |     3
       25 |     1
      122 |     2
      141 |    17
      218 |    24
      570 |    21
      434 |    31
      211 |     2
      530 |     1
      536 |    19
      449 |     3
      520 |     7
       64 |     3
       55 |    18
      148 |    43
(575 rows)

